Date,Time,Temperature,Humidity
12/01/23,08:27,23.3,83.1
12/01/23,08:27,23.3,83.6
12/01/23,08:27,23.4,83.7
12/01/23,08:27,23.3,83.7
12/01/23,08:27,23.4,83.6
12/01/23,08:27,23.5,83.3
12/01/23,08:27,23.5,83.0
12/01/23,08:27,23.4,83.1
12/01/23,08:27,23.5,83.1
12/01/23,08:27,23.5,83.4
12/01/23,08:27,23.6,84.1
12/01/23,08:27,23.6,84.1
12/01/23,08:27,23.5,83.9
12/01/23,08:27,23.6,83.6
12/01/23,08:27,23.6,83.7
12/01/23,08:27,23.6,83.8
12/01/23,08:27,23.5,83.9
12/01/23,08:27,23.5,84.1
12/01/23,08:27,23.7,84.4
12/01/23,08:27,23.6,84.5
12/01/23,08:27,23.6,84.3
12/01/23,08:27,23.6,84.5
12/01/23,08:27,23.7,84.2
12/01/23,08:27,23.6,84.0
12/01/23,08:27,23.7,84.0
12/01/23,08:27,23.7,83.9
12/01/23,08:27,23.6,83.7
12/01/23,08:27,23.7,83.7
12/01/23,08:27,23.7,83.7
12/01/23,08:27,23.8,83.7
12/01/23,08:28,23.8,83.7
12/01/23,08:28,23.7,83.7
12/01/23,08:28,23.8,83.5
12/01/23,08:28,23.8,83.5
12/01/23,08:29,23.8,83.6
12/01/23,08:29,24.1,80.8
12/01/23,08:29,24.2,80.9
12/01/23,08:29,24.2,80.7
12/01/23,08:29,24.2,80.6
12/01/23,08:29,24.2,80.6
12/01/23,08:29,24.2,80.6
12/01/23,08:29,24.2,80.5
12/01/23,08:29,24.2,80.6
12/01/23,08:29,24.2,80.6
12/01/23,08:29,24.3,80.8
12/01/23,08:29,24.2,80.7
12/01/23,08:29,24.2,80.7
12/01/23,08:29,24.2,80.8
12/01/23,08:29,24.3,80.9
12/01/23,08:29,24.3,81.1
12/01/23,08:29,24.3,81.2
12/01/23,08:29,24.4,80.8
12/01/23,08:29,24.3,80.8
12/01/23,08:29,24.3,80.7
12/01/23,08:29,24.4,80.6
12/01/23,08:29,24.3,80.8
12/01/23,08:29,24.4,80.9
12/01/23,08:29,24.4,81.1
12/01/23,08:29,24.5,80.9
12/01/23,08:29,24.4,80.9
12/01/23,08:29,24.4,80.6
12/01/23,08:29,24.5,80.6
